pos_x , pos_y , pos_z , pos_d_x , pos_d_y , pos_d_z , pos_e_x , pos_e_y , pos_e_z , quat_x , quat_y , quat_z , quat_w , quat_d_x , quat_d_y , quat_d_z , quat_d_w , yaw , yaw_d , vel_x , vel_y , vel_z , vel_d_x , vel_d_y , vel_d_z , vel_e_x , vel_e_y , vel_e_z , acc_d_x , acc_d_y , acc_d_z , jerk_d_x , jerk_d_y , jerk_d_z , omega_d_x , omega_d_y , omega_d_z
0.000000 , 0.000000 , 0.040250 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.459750 , -0.000000 , -0.000000 , -0.000000 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000000 , 0.000000 , -0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000001 , 0.040317 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.459683 , 0.000005 , -0.000000 , -0.000002 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000004 , 0.000000 , 0.000000 , 0.000100 , 0.006749 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006749 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000003 , 0.040722 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.459278 , 0.000014 , 0.000000 , -0.000006 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000012 , 0.000000 , -0.000000 , 0.000098 , 0.024690 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.024690 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000005 , 0.041481 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.458519 , 0.000023 , 0.000000 , -0.000010 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000020 , 0.000000 , 0.000000 , 0.000091 , 0.042279 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.042279 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000007 , 0.042581 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.457419 , 0.000032 , 0.000000 , -0.000014 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000028 , 0.000000 , 0.000000 , 0.000081 , 0.059188 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.059188 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000008 , 0.044010 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.455990 , 0.000041 , 0.000001 , -0.000018 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000036 , 0.000000 , 0.000000 , 0.000067 , 0.075411 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.075411 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000009 , 0.045753 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.454247 , 0.000048 , 0.000001 , -0.000022 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000044 , 0.000000 , 0.000001 , 0.000049 , 0.090980 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.090980 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000010 , 0.047797 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.452203 , 0.000050 , 0.000002 , -0.000026 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000052 , 0.000000 , 0.000001 , 0.000028 , 0.105891 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.105891 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000010 , 0.050130 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.449870 , 0.000051 , 0.000002 , -0.000030 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000060 , 0.000000 , 0.000002 , 0.000007 , 0.120158 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.120158 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000000 , 0.000010 , 0.052739 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.447261 , 0.000052 , 0.000003 , -0.000034 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000068 , 0.000000 , 0.000003 , -0.000014 , 0.133810 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.133810 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000001 , 0.000009 , 0.055612 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.444388 , 0.000053 , 0.000003 , -0.000038 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000076 , 0.000000 , 0.000004 , -0.000036 , 0.146838 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.146838 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
0.000001 , 0.000008 , 0.058736 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.441264 , 0.000053 , 0.000004 , -0.000042 , 1.000000 , 0.000000 , 0.000000 , 0.000000 , 1.000000 , -0.000084 , 0.000000 , 0.000006 , -0.000058 , 0.159274 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.159274 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
